feature,rmse
4cbc12381,1.7581666454351064
95a2e29fc,1.7581672717900174
a1f73b0d3,1.7581682300404795
70feb1494,1.758169013876875
d3a116347,1.7581691336758278
4569d5378,1.7581709827634504
4c60b70b8,1.7581718619301347
5cfc625f1,1.7581727235040956
e622cfe3b,1.7581730268056015
c90b0b8a7,1.7581739918010972
7cb53a29a,1.7581746315538513
4e26bc1ff,1.7581749490399163
4fc9da4e3,1.75817560157853
7df9efba5,1.7581758289053266
d0803e3a1,1.7581776315523687
e0bb9cf0b,1.7581777950320592
61063fa1c,1.7581859998358393
4bf056f35,1.7581892363669818
d5858c659,1.758189621256279
207021f50,1.758190547872652
0231f07ed,1.7581928732350944
2c5819699,1.7581933393010853
f52409b3e,1.758193705841612
fd8f1d27f,1.7581937598807715
2b8851e90,1.758195498971651
b8c3205bf,1.7581959406884784
60307ab41,1.7581960085917847
7eacd712f,1.7581965107986242
b8f892930,1.7581969811370275
f39074b55,1.7581990405426406
772288e75,1.758201968726183
9a5cd5171,1.7582028283655635
be3b11d9b,1.7582033619231547
0f07e3775,1.7582036177907983
4f0b30912,1.7582049444483339
bf0e69e55,1.7582049727832283
c9aac7536,1.7582051716924676
b27faa35e,1.7582052371929704
abb30bd35,1.7582115666158158
3c649dad8,1.758211884098217
348aedc21,1.758212769203852
493466e96,1.7582129562490212
ebccb542e,1.7582163548646252
282cfe2ad,1.7582165338840154
00b309c64,1.7582183373550646
4634c8fae,1.7582193328217506
2d4684f51,1.7582202828848987
320931ca8,1.7582203994990757
88458cb21,1.7582209062762144
9401c82a9,1.75822333449904
b440fc661,1.7582258594885387
174edf08a,1.7582258704041762
22ff4e1b8,1.7582272252575901
f4e243e21,1.7582281244495488
9653c119c,1.7582328098456301
63dfd4552,1.7582337519836078
d168174c7,1.758233877377866
4b1d463d7,1.758236777910255
295f155e7,1.7582420490337036
6a9e2b09d,1.7582434796355872
c4ed18259,1.7582445075731195
d59047bd3,1.7582445075731195
7e1c4f651,1.758245735290962
cdd16fdd1,1.758246200339404
4bffaff52,1.7582477986125071
e9be18e4b,1.758248047074894
5cab25704,1.75824809614448
546e67d8f,1.75824986808342
bb6260a44,1.7582520887179989
020a817ab,1.7582538276084974
70b564f7b,1.75825401907277
638d0b2e0,1.7582550632045453
ca7ea80a3,1.7582583167439005
2b0fc604a,1.7582590251098273
c07f4daba,1.7582603285363074
831cebed2,1.7582625328502868
feb40ad9f,1.7582645189597916
067bcb836,1.7582650629165046
58e056e12,1.7582652684395317
2645d1a55,1.7582653802140809
bc70cbc26,1.7582667169725883
f9b482e8b,1.7582670426751577
0b2db6e56,1.7582677749223259
8d4f4c571,1.7582690465584476
199d30938,1.7582698408552253
79af1068d,1.7582701092997262
9aeec78c5,1.7582712992800102
87c8931b6,1.7582735902199946
1548e95ae,1.7582754662594335
946d16369,1.758276219508288
98af380ad,1.7582777238412008
0d1af7370,1.758279456766778
cba573a9d,1.7582816469963238
936dc3bc4,1.7582820810685638
b9e8c09d1,1.7582826990853397
83ea288de,1.7582846063460598
a6fc6205f,1.758285091414111
025172af5,1.758285422260144
ee39e4ce0,1.758288822934563
87e9b19f9,1.7582913345170528
1b48a4b5b,1.7582960604075386
c680e9350,1.7582975976369934
37d7af8ad,1.7582982921700478
467aabbb0,1.758299107279068
47c197766,1.7582992551400283
831a9e087,1.7582995828623835
9855c78bb,1.7583013487926564
ce408348f,1.7583014003741575
d5e6c18b0,1.7583021498916662
07c9d1f37,1.7583036800771314
f8a3bb673,1.7583046537866718
6f53aee73,1.7583062712883182
374b83757,1.7583078069726341
fec5eaf1a,1.7583082113999013
ad064d609,1.7583083123660408
93f686d09,1.7583083198001668
06b19b6c4,1.758311989945573
d918835ca,1.7583163498955547
05527f031,1.7583194570933518
3fdef7fe4,1.758321516734527
a513d67d5,1.7583222695795706
1cb237c61,1.758322439678647
e4eac6fc5,1.7583225230824249
80b14398e,1.7583228704925586
1fb62e0dc,1.758323344772805
c1b9f4e76,1.7583243950681642
bef84d3ad,1.7583269440364202
5089bf842,1.7583274957380048
09a65c3a5,1.758327804090973
767b6d272,1.7583291615831385
6078280eb,1.7583294029524321
5910a3154,1.7583317201338093
d13a77c9b,1.7583323460785707
181e91b1c,1.7583355315542253
be83085df,1.75833582754151
31e434a58,1.758336632500817
04ef53271,1.7583394274999842
adadb9a96,1.7583408191091279
536e3198c,1.7583409130479395
440d789c5,1.7583411914582503
a78f85d49,1.758342454647766
65000b269,1.758342604274802
4d2c7622d,1.7583432490510573
b3655056c,1.7583444675736226
480e78cb0,1.7583445319242637
879e1f51a,1.7583466391423577
1ffee02ec,1.7583471611872246
0d8f892fe,1.7583475616403825
b64425521,1.7583484505445741
57c4c03f6,1.7583488441482473
1f71b76c1,1.758352400321859
13d853d22,1.758358111142142
951ef1246,1.7583607355584476
4480c1096,1.7583610061450345
2bc6017e1,1.7583610865046417
56ec098a1,1.758362343433322
9e711a568,1.7583652789896043
a3316961d,1.7583705656882342
a7bbfdace,1.7583709535700387
2c7e41e16,1.7583711838510339
1e1cb47f3,1.7583714355590694
3e5dab1e3,1.7583718496650438
a77b4afa4,1.7583721475471943
cc03b5217,1.7583722069213248
45630adf0,1.758372357300944
19a67cb97,1.75837315318365
e9303f524,1.7583732644996033
0926408ae,1.7583734893185758
6a1ba30dc,1.7583737040584646
1b41fe545,1.758375086647345
ccb68477c,1.7583755355465216
7b922ea8b,1.758379264547317
7ee833549,1.758380630465616
1c047a8ce,1.7583825533860797
58d9f565a,1.7583827208580605
4810efa27,1.758382892744177
7a12cc314,1.7583830213115086
49f11e712,1.7583840073274608
548c02798,1.758384787946225
04b88be38,1.7583849485630707
50a900e26,1.7583853906652027
6035df6d8,1.7583855829092914
aee922a7b,1.7583876544315125
9d435a85b,1.758388847134244
1c4157dfd,1.7583898449947255
d45fd5508,1.758390461691831
11d9e8383,1.7583907335369355
026ca57fd,1.758392001798071
4c427c13e,1.758392672984658
4f8b27b6b,1.7583944814633075
